epoch,avg_loss,delta,learning_rate
1,0.018076680158264934,0.0,0.0001
2,0.005392704473342747,0.012683975684922187,0.0001
3,0.0018140729109290988,0.0035786315624136483,0.0001
4,0.001006204294390045,0.0008078686165390537,0.0001
5,0.0006594917242182419,0.0003467125701718031,0.0001
6,0.00046237191709224134,0.00019711980712600058,0.0001
7,0.0003683126007672399,9.405931632500142e-05,0.0001
8,0.0003116009131190367,5.6711687648203224e-05,0.0001
9,0.0002699747812584974,4.162613186053932e-05,0.0001
10,0.00024869906847015957,2.127571278833781e-05,0.0001
11,0.00021757305476057808,3.1126013709581484e-05,0.0001
12,0.0002037374251813162,1.3835629579261871e-05,0.0001
13,0.00018198557881987654,2.1751846361439675e-05,0.0001
14,0.0001733452663756907,8.640312444185838e-06,0.0001
15,0.000154091857621097,1.9253408754593704e-05,0.0001
16,0.00014938913845981007,4.7027191612869284e-06,0.0001
17,0.00013353065914998297,1.5858479309827095e-05,0.0001
18,0.00013411746022029547,-5.868010703124983e-07,0.0001
19,0.00011771013432735345,1.640732589294202e-05,0.0001
20,0.00013818986335536465,-2.0479729028011196e-05,0.0001
21,0.00011026820102415514,2.792166233120951e-05,0.0001
22,9.860285972536076e-05,1.166534129879438e-05,0.0001
23,9.6374942586408e-05,2.227917138952759e-06,0.0001
24,8.562000748497667e-05,1.0754935101431332e-05,0.0001
25,9.724744231789372e-05,-1.1627434832917058e-05,0.0001
26,7.466305087291402e-05,2.25843914449797e-05,0.0001
27,7.93043574958574e-05,-4.641306622943383e-06,0.0001
28,7.12703514182067e-05,8.03400607765071e-06,0.0001
29,9.834413358476013e-05,-2.707378216655344e-05,0.0001
30,5.8232679657521656e-05,4.011145392723848e-05,0.0001
31,4.9756659882405076e-05,8.47601977511658e-06,0.0001
32,5.7282978741568516e-05,-7.52631885916344e-06,0.0001
33,4.5269798920344326e-05,1.201317982122419e-05,0.0001
34,4.1804070588113976e-05,3.46572833223035e-06,0.0001
35,5.2877519283356375e-05,-1.10734486952424e-05,0.0001
36,3.746600646081788e-05,1.5411512822538495e-05,0.0001
37,3.549519133230206e-05,1.9708151285158224e-06,0.0001
38,4.9921812933462204e-05,-1.4426621601160146e-05,0.0001
39,3.2693206003386875e-05,1.722860693007533e-05,0.0001
40,3.0376128188436267e-05,2.3170778149506077e-06,0.0001
