epoch,avg_loss,delta,learning_rate
1,0.07157967779785394,0.0,1e-05
2,0.017711334954947235,0.05386834284290671,1e-05
3,0.00820925405714661,0.009502080897800625,1e-05
4,0.0075114522594958546,0.000697801797650755,1e-05
5,0.007240316527895629,0.0002711357316002253,1e-05
6,0.006733035296201706,0.0005072812316939236,1e-05
7,0.005555548577103764,0.001177486719097942,1e-05
8,0.003297255700454116,0.0022582928766496477,1e-05
9,0.001987695338902995,0.001309560361551121,1e-05
10,0.0015493217622861266,0.00043837357661686833,1e-05
11,0.0013389003230258822,0.0002104214392602444,1e-05
12,0.001235079689649865,0.00010382063337601713,1e-05
13,0.001158139866311103,7.693982333876201e-05,1e-05
14,0.0010973152267979458,6.082463951315718e-05,1e-05
15,0.0010403202730230987,5.699495377484718e-05,1e-05
16,0.0009822187421377748,5.810153088532384e-05,1e-05
17,0.0009411576495040209,4.106109263375397e-05,1e-05
18,0.0008779800671618431,6.317758234217772e-05,1e-05
19,0.0008364226290723309,4.155743808951227e-05,1e-05
20,0.0007749524607788772,6.147016829345371e-05,1e-05
